Year,CustomerId,CreditScore,CreditBand,Geography,Gender,Age,AgeGroup,Tenure,TenureGroup,Balance,BalanceGroup,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
2025,15634602,619,Medium,France,0,42,Mid,2,New,0.0,Zero,1,1,1,101348.88,1
2025,15647311,608,Medium,Spain,0,41,Mid,1,New,83807.86,Low,1,0,1,112542.58,0
2025,15619304,502,Medium,France,0,42,Mid,8,Long,159660.8,High,3,1,0,113931.57,1
2025,15701354,699,Medium,France,0,39,Mid,1,New,0.0,Zero,2,0,0,93826.63,0
2025,15737888,850,High,Spain,0,43,Mid,2,New,125510.82,High,1,1,1,79084.1,0
2025,15574012,645,Medium,Spain,1,44,Mid,8,Long,113755.78,High,2,1,0,149756.71,1
2025,15592531,822,High,France,1,50,Senior,7,Mid,0.0,Zero,2,1,1,10062.8,0
2025,15656148,376,Low,Germany,0,29,Young,4,Mid,115046.74,High,4,1,0,119346.88,1
2025,15792365,501,Medium,France,1,44,Mid,4,Mid,142051.07,High,2,0,1,74940.5,0
2025,15592389,684,Medium,France,1,27,Young,2,New,134603.88,High,1,1,1,71725.73,0
2025,15767821,528,Medium,France,1,31,Mid,6,Mid,102016.72,High,2,0,0,80181.12,0
2025,15737173,497,Low,Spain,1,24,Young,3,New,0.0,Zero,2,1,0,76390.01,0
2025,15632264,476,Low,France,0,34,Mid,10,Long,0.0,Zero,2,1,0,26260.98,0
2025,15691483,549,Medium,France,0,25,Young,5,Mid,0.0,Zero,2,0,0,190857.79,0
2025,15600882,635,Medium,Spain,0,35,Mid,7,Mid,0.0,Zero,2,1,1,65951.65,0
2025,15643966,616,Medium,Germany,1,45,Senior,3,New,143129.41,High,2,0,1,64327.26,0
2025,15737452,653,Medium,Germany,1,58,Senior,1,New,132602.88,High,1,1,0,5097.67,1
2025,15788218,549,Medium,Spain,0,24,Young,9,Long,0.0,Zero,2,1,1,14406.41,0
2025,15661507,587,Medium,Spain,1,45,Senior,6,Mid,0.0,Zero,1,0,0,158684.81,0
2025,15568982,726,High,France,0,24,Young,6,Mid,0.0,Zero,2,1,1,54724.03,0
2025,15577657,732,High,France,1,41,Mid,8,Long,0.0,Zero,2,1,1,170886.17,0
2025,15597945,636,Medium,Spain,0,32,Mid,8,Long,0.0,Zero,2,1,0,138555.46,0
2025,15699309,510,Medium,Spain,0,38,Mid,4,Mid,0.0,Zero,1,1,0,118913.53,1
2025,15725737,669,Medium,France,1,46,Senior,3,New,0.0,Zero,2,0,1,8487.75,0
2025,15625047,846,High,France,0,38,Mid,5,Mid,0.0,Zero,1,1,1,187616.16,0
2025,15738191,577,Medium,France,1,25,Young,3,New,0.0,Zero,2,0,1,124508.29,0
2025,15736816,756,High,Germany,1,36,Mid,2,New,136815.64,High,1,1,1,170041.95,0
2025,15700772,571,Medium,France,1,44,Mid,9,Long,0.0,Zero,2,0,0,38433.35,0
2025,15728693,574,Medium,Germany,0,43,Mid,3,New,141349.43,High,1,1,1,100187.43,0
2025,15656300,411,Low,France,1,29,Young,0,New,59697.17,Low,2,1,1,53483.21,0
2025,15589475,591,Medium,Spain,0,39,Mid,3,New,0.0,Zero,3,1,0,140469.38,1
2025,15706552,533,Medium,France,1,36,Mid,7,Mid,85311.7,Low,1,0,1,156731.91,0
2025,15750181,553,Medium,Germany,1,41,Mid,9,Long,110112.54,High,2,0,0,81898.81,0
2025,15659428,520,Medium,Spain,0,42,Mid,6,Mid,0.0,Zero,2,1,1,34410.55,0
2025,15732963,722,High,Spain,0,29,Young,9,Long,0.0,Zero,2,1,1,142033.07,0
2025,15794171,475,Low,France,0,45,Senior,0,New,134264.04,High,1,1,0,27822.99,1
2025,15788448,490,Low,Spain,1,31,Mid,3,New,145260.23,High,1,0,1,114066.77,0
2025,15729599,804,High,Spain,1,33,Mid,7,Mid,76548.6,Low,1,0,1,98453.45,0
2025,15717426,850,High,France,1,36,Mid,7,Mid,0.0,Zero,1,1,1,40812.9,0
2025,15585768,582,Medium,Germany,1,41,Mid,6,Mid,70349.48,Low,2,0,1,178074.04,0
2025,15619360,472,Low,Spain,1,40,Mid,4,Mid,0.0,Zero,1,1,0,70154.22,0
2025,15738148,465,Low,France,0,51,Senior,8,Long,122522.32,High,1,0,0,181297.65,1
2025,15687946,556,Medium,France,0,61,Elder,2,New,117419.35,High,1,1,1,94153.83,0
2025,15755196,834,High,France,0,49,Senior,2,New,131394.56,High,1,0,0,194365.76,1
2025,15684171,660,Medium,Spain,0,61,Elder,5,Mid,155931.11,High,1,1,1,158338.39,0
2025,15754849,776,High,Germany,0,32,Mid,4,Mid,109421.13,High,2,1,1,126517.46,0
2025,15602280,829,High,Germany,0,27,Young,9,Long,112045.67,High,1,1,1,119708.21,1
2025,15771573,637,Medium,Germany,0,39,Mid,9,Long,137843.8,High,1,1,1,117622.8,1
2025,15766205,550,Medium,Germany,1,38,Mid,2,New,103391.38,High,1,0,1,90878.13,0
2025,15771873,776,High,Germany,0,37,Mid,2,New,103769.22,High,2,1,0,194099.12,0
2025,15616550,698,Medium,Germany,1,44,Mid,10,Long,116363.37,High,2,1,0,198059.16,0
2025,15768193,585,Medium,Germany,1,36,Mid,5,Mid,146050.97,High,2,0,0,86424.57,0
2025,15683553,788,High,France,0,33,Mid,5,Mid,0.0,Zero,2,0,0,116978.19,0
2025,15702298,655,Medium,Germany,1,41,Mid,8,Long,125561.97,High,1,0,0,164040.94,1
2025,15569590,601,Medium,Germany,1,42,Mid,1,New,98495.72,Low,1,1,0,40014.76,1
2025,15760861,619,Medium,France,1,43,Mid,1,New,125211.92,High,1,1,1,113410.49,0
2025,15630053,656,Medium,France,1,45,Senior,5,Mid,127864.4,High,1,1,0,87107.57,0
2025,15647091,725,High,Germany,1,19,Young,0,New,75888.2,Low,1,0,0,45613.75,0
2025,15623944,511,Medium,Spain,0,66,Elder,4,Mid,0.0,Zero,1,1,0,1643.11,1
2025,15804771,614,Medium,France,1,51,Senior,4,Mid,40685.92,Low,1,1,1,46775.28,0
2025,15651280,742,High,Germany,1,35,Mid,5,Mid,136857.0,High,1,0,0,84509.57,0
2025,15773469,687,Medium,Germany,0,27,Young,9,Long,152328.88,High,2,0,0,126494.82,0
2025,15702014,555,Medium,Spain,1,33,Mid,1,New,56084.69,Low,2,0,0,178798.13,0
2025,15751208,684,Medium,Spain,1,56,Senior,8,Long,78707.16,Low,1,1,1,99398.36,0
2025,15592461,603,Medium,Germany,1,26,Young,4,Mid,109166.37,High,1,1,1,92840.67,0
2025,15789484,751,High,Germany,0,36,Mid,6,Mid,169831.46,High,2,1,1,27758.36,0
2025,15696061,581,Medium,Germany,0,34,Mid,1,New,101633.04,High,1,1,0,110431.51,0
2025,15641582,735,High,Germany,1,43,Mid,10,Long,123180.01,High,2,1,1,196673.28,0
2025,15638424,661,Medium,Germany,0,35,Mid,5,Mid,150725.53,High,2,0,1,113656.85,0
2025,15755648,675,Medium,France,0,21,Young,8,Long,98373.26,Low,1,1,0,18203.0,0
2025,15703793,738,High,Germany,1,58,Senior,2,New,133745.44,High,4,1,0,28373.86,1
2025,15620344,813,High,France,1,29,Young,6,Mid,0.0,Zero,1,1,0,33953.87,0
2025,15812518,657,Medium,Spain,0,37,Mid,0,New,163607.18,High,1,0,1,44203.55,0
2025,15779052,604,Medium,Germany,0,25,Young,5,Mid,157780.84,High,2,1,1,58426.81,0
2025,15770811,519,Medium,France,1,36,Mid,9,Long,0.0,Zero,2,0,1,145562.4,0
2025,15780961,735,High,France,0,21,Young,1,New,178718.19,High,2,1,0,22388.0,0
2025,15614049,664,Medium,France,1,55,Senior,8,Long,0.0,Zero,2,1,1,139161.64,0
2025,15662085,678,Medium,France,0,32,Mid,9,Long,0.0,Zero,1,1,1,148210.64,0
2025,15575185,757,High,Spain,1,33,Mid,5,Mid,77253.22,Low,1,0,1,194239.63,0
2025,15803136,416,Low,Germany,0,41,Mid,10,Long,122189.66,High,2,1,0,98301.61,0
2025,15706021,665,Medium,France,0,34,Mid,1,New,96645.54,Low,2,0,0,171413.66,0
2025,15663706,777,High,France,0,32,Mid,2,New,0.0,Zero,1,1,0,136458.19,1
2025,15641732,543,Medium,France,0,36,Mid,3,New,0.0,Zero,2,0,0,26019.59,0
2025,15701164,506,Medium,France,0,34,Mid,4,Mid,90307.62,Low,1,1,1,159235.29,0
2025,15738751,493,Low,France,0,46,Senior,4,Mid,0.0,Zero,2,1,0,1907.66,0
2025,15805254,652,Medium,Spain,0,75,Elder,10,Long,0.0,Zero,2,1,1,114675.75,0
2025,15762418,750,High,Spain,1,22,Young,3,New,121681.82,High,1,1,0,128643.35,1
2025,15625759,729,High,France,1,30,Mid,9,Long,0.0,Zero,2,1,0,151869.35,0
2025,15622897,646,Medium,France,0,46,Senior,4,Mid,0.0,Zero,3,1,0,93251.42,1
2025,15767954,635,Medium,Germany,0,28,Young,3,New,81623.67,Low,2,1,1,156791.36,0
2025,15757535,647,Medium,Spain,0,44,Mid,5,Mid,0.0,Zero,3,1,1,174205.22,1
2025,15731511,808,High,France,1,45,Senior,7,Mid,118626.55,High,2,1,0,147132.46,0
2025,15809248,524,Medium,France,0,36,Mid,10,Long,0.0,Zero,2,1,0,109614.57,0
2025,15640635,769,High,France,1,29,Young,8,Long,0.0,Zero,2,1,1,172290.61,0
2025,15676966,730,High,Spain,1,42,Mid,4,Mid,0.0,Zero,2,0,1,85982.47,0
2025,15699461,515,Medium,Spain,1,35,Mid,10,Long,176273.95,High,1,0,1,121277.78,0
2025,15738721,773,High,Spain,1,41,Mid,9,Long,102827.44,High,1,0,1,64595.25,0
2025,15693683,814,High,Germany,1,29,Young,8,Long,97086.4,Low,2,1,1,197276.13,0
2025,15604348,710,High,Spain,1,22,Young,8,Long,0.0,Zero,2,0,0,99645.04,0
2025,15633059,413,Low,France,1,34,Mid,9,Long,0.0,Zero,2,0,0,6534.18,0
2025,15808582,665,Medium,France,0,40,Mid,6,Mid,0.0,Zero,1,1,1,161848.03,0
2025,15743192,623,Medium,France,0,44,Mid,6,Mid,0.0,Zero,2,0,0,167162.43,0
2025,15580146,738,High,France,1,31,Mid,9,Long,82674.15,Low,1,1,0,41970.72,0
2025,15776605,528,Medium,Spain,1,36,Mid,7,Mid,0.0,Zero,2,1,0,60536.56,0
2025,15804919,670,Medium,Spain,0,65,Elder,1,New,0.0,Zero,1,1,1,177655.68,1
2025,15613854,622,Medium,Spain,0,46,Senior,4,Mid,107073.27,High,2,1,1,30984.59,1
2025,15599195,582,Medium,Germany,1,32,Mid,1,New,88938.62,Low,1,1,1,10054.53,0
2025,15812878,785,High,Germany,0,36,Mid,2,New,99806.85,Low,1,0,1,36976.52,0
2025,15602312,605,Medium,Spain,1,33,Mid,5,Mid,150092.8,High,1,0,0,71862.79,0
2025,15744689,479,Low,Germany,1,35,Mid,9,Long,92833.89,Low,1,1,0,99449.86,1
2025,15803526,685,Medium,Germany,1,30,Mid,3,New,90536.81,Low,1,0,1,63082.88,0
2025,15665790,538,Medium,Germany,1,39,Mid,7,Mid,108055.1,High,2,1,0,27231.26,0
2025,15715951,562,Medium,France,1,42,Mid,2,New,100238.35,High,1,0,0,86797.41,0
2025,15591100,675,Medium,Spain,1,36,Mid,9,Long,106190.55,High,1,0,1,22994.32,0
2025,15609618,721,High,Germany,1,28,Young,9,Long,154475.54,High,2,0,1,101300.94,1
2025,15675522,628,Medium,Germany,0,30,Mid,9,Long,132351.29,High,2,1,1,74169.13,0
2025,15705512,668,Medium,Germany,0,37,Mid,6,Mid,167864.4,High,1,1,0,115638.29,0
2025,15698028,506,Medium,France,0,41,Mid,1,New,0.0,Zero,2,1,0,31766.3,0
2025,15661670,524,Medium,Germany,0,31,Mid,8,Long,107818.63,High,1,1,0,199725.39,1
2025,15600781,699,Medium,Germany,1,34,Mid,4,Mid,185173.81,High,2,1,0,120834.48,0
2025,15682472,828,High,France,1,34,Mid,8,Long,129433.34,High,2,0,0,38131.77,0
2025,15580203,674,Medium,Spain,1,39,Mid,6,Mid,120193.42,High,1,0,0,100130.95,0
2025,15690673,656,Medium,France,0,39,Mid,6,Mid,0.0,Zero,2,1,0,141069.88,0
2025,15760085,684,Medium,Germany,0,48,Senior,10,Long,126384.42,High,1,1,1,198129.36,0
2025,15779659,625,Medium,France,0,28,Young,3,New,0.0,Zero,1,0,0,183646.41,0
2025,15627360,432,Low,France,1,42,Mid,9,Long,152603.45,High,1,1,0,110265.24,1
2025,15671137,549,Medium,France,0,52,Senior,1,New,0.0,Zero,1,0,1,8636.05,1
2025,15782688,625,Medium,Germany,1,56,Senior,0,New,148507.24,High,1,1,0,46824.08,1
2025,15575492,828,High,France,0,41,Mid,7,Mid,0.0,Zero,2,1,0,171378.77,0
2025,15591607,770,High,France,1,24,Young,9,Long,101827.07,High,1,1,0,167256.35,0
2025,15740404,758,High,France,0,34,Mid,3,New,0.0,Zero,2,1,1,124226.16,0
2025,15718369,795,High,Germany,0,33,Mid,9,Long,130862.43,High,1,1,1,114935.21,0
2025,15677871,687,Medium,France,1,38,Mid,9,Long,122570.87,High,1,1,1,35608.88,0
2025,15642004,686,Medium,France,1,25,Young,1,New,0.0,Zero,2,0,1,16459.37,0
2025,15712543,789,High,Germany,1,39,Mid,7,Mid,124828.46,High,2,1,1,124411.08,0
2025,15584518,589,Medium,Germany,0,50,Senior,5,Mid,144895.05,High,2,1,1,34941.23,0
2025,15802381,461,Low,Germany,0,34,Mid,5,Mid,63663.93,Low,1,0,1,167784.28,0
2025,15610156,637,Medium,France,1,40,Mid,2,New,133463.1,High,1,0,1,93165.34,0
2025,15594408,584,Medium,Spain,0,48,Senior,2,New,213146.2,High,1,1,0,75161.25,1
2025,15640905,579,Medium,Spain,0,35,Mid,1,New,129490.36,High,2,0,1,8590.83,1
2025,15698932,756,High,Germany,1,44,Mid,10,Long,137452.09,High,1,1,0,189543.9,0
2025,15724944,663,Medium,France,1,34,Mid,7,Mid,0.0,Zero,2,1,1,180427.24,0
